vote_2020,gender,race_ethnicity,household_income,state,age,vote_trump
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,56,1
Donald Trump,male,White,"$200,000 and above",california,42,1
Joe Biden,male,White,"Less than $49,999",arizona,70,0
Donald Trump,male,White,"Less than $49,999",ohio,19,1
Joe Biden,male,"Black, or African American","Less than $49,999",missouri,40,0
Joe Biden,male,White,"$50,000 to $99,999",wisconsin,57,0
Donald Trump,male,White,"$150,000 to $199,999",new york,40,1
Donald Trump,female,White,"$50,000 to $99,999",wisconsin,30,1
Joe Biden,male,White,"$100,000 to $149,999",pennsylvania,38,0
Joe Biden,male,White,"Less than $49,999",new york,27,0
Joe Biden,female,White,"$100,000 to $149,999",minnesota,38,0
Joe Biden,male,White,"Less than $49,999",new hampshire,34,0
Joe Biden,female,White,"Less than $49,999",michigan,38,0
Joe Biden,female,White,"Less than $49,999",colorado,21,0
Donald Trump,male,White,"$150,000 to $199,999",virginia,40,1
Joe Biden,female,"Black, or African American","Less than $49,999",michigan,45,0
Joe Biden,female,Asian or Pacific Islander,"$50,000 to $99,999",pennsylvania,19,0
Joe Biden,female,White,"$100,000 to $149,999",california,65,0
Donald Trump,female,White,"Less than $49,999",arizona,61,1
Donald Trump,male,White,"$200,000 and above",kentucky,40,1
Joe Biden,female,White,"$50,000 to $99,999",nevada,37,0
Joe Biden,male,White,"Less than $49,999",illinois,20,0
Joe Biden,male,White,"$200,000 and above",new york,42,0
Joe Biden,female,Some other race,"$50,000 to $99,999",georgia,19,0
Joe Biden,male,White,"$150,000 to $199,999",virginia,45,0
Donald Trump,female,White,"$50,000 to $99,999",indiana,67,1
Joe Biden,male,"Black, or African American","Less than $49,999",maryland,29,0
Joe Biden,female,White,"$50,000 to $99,999",california,68,0
Joe Biden,male,White,"Less than $49,999",texas,54,0
Joe Biden,male,Asian or Pacific Islander,"$200,000 and above",new jersey,31,0
Joe Biden,male,White,"Less than $49,999",florida,43,0
Donald Trump,male,Asian or Pacific Islander,"Less than $49,999",texas,42,1
Donald Trump,male,White,"$200,000 and above",wisconsin,41,1
Joe Biden,male,"Black, or African American","Less than $49,999",florida,19,0
Joe Biden,male,White,"Less than $49,999",michigan,62,0
Donald Trump,female,Some other race,"Less than $49,999",virginia,19,1
Donald Trump,male,White,"Less than $49,999",virginia,20,1
Joe Biden,male,White,"Less than $49,999",california,30,0
Joe Biden,male,White,"Less than $49,999",iowa,19,0
Donald Trump,male,White,"$200,000 and above",ohio,42,1
Donald Trump,male,White,"$50,000 to $99,999",virginia,42,1
Joe Biden,male,White,"Less than $49,999",michigan,61,0
Joe Biden,female,White,"Less than $49,999",massachusetts,22,0
Donald Trump,male,White,"$200,000 and above",new jersey,39,1
Joe Biden,female,White,"$50,000 to $99,999",california,66,0
Donald Trump,male,White,"Less than $49,999",tennessee,38,1
Joe Biden,male,White,"$200,000 and above",new york,35,0
Joe Biden,male,White,"$50,000 to $99,999",missouri,25,0
Donald Trump,female,White,"$50,000 to $99,999",ohio,35,1
Joe Biden,male,Some other race,"Less than $49,999",texas,25,0
Joe Biden,male,"Black, or African American","$100,000 to $149,999",maryland,70,0
Joe Biden,female,White,"Less than $49,999",arizona,82,0
Donald Trump,male,White,"Less than $49,999",ohio,70,1
Donald Trump,male,White,"Less than $49,999",maine,50,1
Joe Biden,male,White,"Less than $49,999",california,20,0
Donald Trump,male,White,"$200,000 and above",new jersey,35,1
Joe Biden,female,White,"Less than $49,999",ohio,24,0
Donald Trump,male,White,"$50,000 to $99,999",wisconsin,56,1
Donald Trump,male,White,"Less than $49,999",south carolina,51,1
Donald Trump,female,White,"Less than $49,999",idaho,31,1
Donald Trump,female,White,"$100,000 to $149,999",louisiana,34,1
Donald Trump,male,White,"$50,000 to $99,999",florida,30,1
Joe Biden,male,"Black, or African American","Less than $49,999",missouri,31,0
Joe Biden,male,White,"Less than $49,999",florida,61,0
Donald Trump,male,White,"Less than $49,999",minnesota,20,1
Joe Biden,male,White,"$200,000 and above",colorado,18,0
Joe Biden,female,"Black, or African American","$150,000 to $199,999",wisconsin,25,0
Donald Trump,female,White,"Less than $49,999",ohio,29,1
Donald Trump,male,White,"Less than $49,999",pennsylvania,66,1
Donald Trump,male,White,"$200,000 and above",new hampshire,43,1
Donald Trump,male,White,"$200,000 and above",virginia,37,1
Donald Trump,male,Some other race,"Less than $49,999",north carolina,44,1
Joe Biden,male,"Black, or African American","Less than $49,999",virginia,54,0
Donald Trump,male,White,"Less than $49,999",florida,69,1
Joe Biden,female,White,"Less than $49,999",nebraska,66,0
Joe Biden,male,White,"$150,000 to $199,999",california,42,0
Joe Biden,female,"Black, or African American","Less than $49,999",texas,24,0
Donald Trump,female,White,"Less than $49,999",oregon,66,1
Joe Biden,female,White,"$100,000 to $149,999",new jersey,77,0
Donald Trump,female,White,"$100,000 to $149,999",south carolina,41,1
Donald Trump,male,White,"$100,000 to $149,999",california,33,1
Joe Biden,female,White,"$50,000 to $99,999",pennsylvania,44,0
Joe Biden,male,White,"$50,000 to $99,999",washington,75,0
Joe Biden,female,White,"Less than $49,999",california,18,0
Joe Biden,male,White,"$50,000 to $99,999",florida,35,0
Joe Biden,male,Asian or Pacific Islander,"$50,000 to $99,999",california,32,0
Donald Trump,male,White,"$100,000 to $149,999",california,45,1
Donald Trump,female,White,"$50,000 to $99,999",arizona,53,1
Donald Trump,male,White,"$150,000 to $199,999",new york,40,1
Donald Trump,female,White,"Less than $49,999",texas,38,1
Joe Biden,female,White,"Less than $49,999",texas,28,0
Donald Trump,male,White,"$50,000 to $99,999",florida,67,1
Joe Biden,female,White,"Less than $49,999",california,44,0
Joe Biden,male,"Black, or African American","Less than $49,999",colorado,57,0
Joe Biden,male,"Black, or African American","$50,000 to $99,999",florida,24,0
Donald Trump,female,White,"$50,000 to $99,999",maryland,65,1
Donald Trump,female,White,"Less than $49,999",kentucky,51,1
Joe Biden,female,Asian or Pacific Islander,"$50,000 to $99,999",california,45,0
Donald Trump,female,White,"Less than $49,999",new york,20,1
Donald Trump,female,White,"$150,000 to $199,999",california,32,1
Joe Biden,male,White,"Less than $49,999",north carolina,42,0
Donald Trump,male,White,"Less than $49,999",ohio,55,1
Donald Trump,female,Some other race,"Less than $49,999",texas,20,1
Joe Biden,male,White,"Less than $49,999",california,52,0
Donald Trump,male,White,"Less than $49,999",florida,20,1
Donald Trump,male,White,"$100,000 to $149,999",north carolina,40,1
Joe Biden,male,White,"$150,000 to $199,999",iowa,54,0
Joe Biden,female,White,"$50,000 to $99,999",california,55,0
Donald Trump,male,White,"Less than $49,999",georgia,78,1
Joe Biden,male,White,"Less than $49,999",california,62,0
Donald Trump,female,"Black, or African American","Less than $49,999",arizona,54,1
Joe Biden,female,"Black, or African American","Less than $49,999",south carolina,37,0
Joe Biden,male,White,"$50,000 to $99,999",ohio,76,0
Joe Biden,male,White,"$100,000 to $149,999",virginia,41,0
Joe Biden,male,White,"Less than $49,999",indiana,71,0
Donald Trump,male,White,"$150,000 to $199,999",georgia,40,1
Donald Trump,female,White,"$100,000 to $149,999",massachusetts,69,1
Joe Biden,female,White,"Less than $49,999",california,44,0
Donald Trump,female,White,"$150,000 to $199,999",maryland,43,1
Donald Trump,female,White,"$50,000 to $99,999",ohio,37,1
Donald Trump,male,White,"$200,000 and above",north carolina,35,1
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",wisconsin,21,0
Joe Biden,female,"Black, or African American","Less than $49,999",illinois,25,0
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",hawaii,35,0
Joe Biden,male,Some other race,"Less than $49,999",california,32,0
Donald Trump,female,White,"$100,000 to $149,999",new york,35,1
Donald Trump,male,White,"$200,000 and above",california,40,1
Donald Trump,male,White,"Less than $49,999",missouri,43,1
Donald Trump,female,White,"$200,000 and above",michigan,51,1
Donald Trump,female,White,"Less than $49,999",illinois,48,1
Donald Trump,male,White,"Less than $49,999",new york,31,1
Donald Trump,male,White,"Less than $49,999",ohio,25,1
Donald Trump,female,White,"$50,000 to $99,999",florida,28,1
Joe Biden,female,Some other race,"Less than $49,999",nevada,18,0
Joe Biden,female,"Black, or African American","Less than $49,999",north carolina,28,0
Joe Biden,male,"Black, or African American","$200,000 and above",mississippi,57,0
Joe Biden,male,"Black, or African American","Less than $49,999",michigan,65,0
Donald Trump,female,White,"$50,000 to $99,999",arizona,59,1
Joe Biden,female,White,"$50,000 to $99,999",michigan,20,0
Joe Biden,male,White,"$100,000 to $149,999",california,29,0
Joe Biden,female,White,"$50,000 to $99,999",illinois,63,0
Joe Biden,male,American Indian or Alaska Native,"Less than $49,999",oklahoma,28,0
Joe Biden,male,White,"$50,000 to $99,999",california,73,0
Donald Trump,male,White,"Less than $49,999",louisiana,20,1
Donald Trump,male,White,"Less than $49,999",florida,25,1
Donald Trump,male,White,"Less than $49,999",texas,47,1
Joe Biden,male,Some other race,"$100,000 to $149,999",california,18,0
Joe Biden,female,"Black, or African American","$100,000 to $149,999",texas,23,0
Joe Biden,male,White,"$50,000 to $99,999",texas,44,0
Donald Trump,female,White,"Less than $49,999",indiana,54,1
Joe Biden,male,White,"$50,000 to $99,999",florida,36,0
Joe Biden,male,White,"$50,000 to $99,999",minnesota,44,0
Joe Biden,female,White,"$50,000 to $99,999",florida,19,0
Joe Biden,female,White,"Less than $49,999",california,26,0
Donald Trump,male,White,"Less than $49,999",west virginia,34,1
Donald Trump,male,White,"Less than $49,999",kansas,69,1
Joe Biden,female,"Black, or African American","Less than $49,999",california,25,0
Joe Biden,female,White,"Less than $49,999",kentucky,70,0
Joe Biden,female,White,"$200,000 and above",texas,19,0
Joe Biden,female,"Black, or African American","Less than $49,999",oklahoma,36,0
Joe Biden,male,White,"Less than $49,999",california,41,0
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,65,1
Joe Biden,female,"Black, or African American","Less than $49,999",wisconsin,34,0
Joe Biden,male,"Black, or African American","Less than $49,999",georgia,48,0
Donald Trump,male,White,"$50,000 to $99,999",ohio,66,1
Joe Biden,male,White,"$200,000 and above",new jersey,42,0
Donald Trump,male,White,"Less than $49,999",florida,59,1
Donald Trump,female,"Black, or African American","Less than $49,999",texas,32,1
Donald Trump,male,"Black, or African American","$50,000 to $99,999",texas,52,1
Donald Trump,male,White,"Less than $49,999",west virginia,30,1
Joe Biden,female,White,"$100,000 to $149,999",pennsylvania,40,0
Joe Biden,female,White,"$50,000 to $99,999",north carolina,52,0
Joe Biden,male,White,"$50,000 to $99,999",virginia,40,0
Donald Trump,male,White,"$150,000 to $199,999",new york,40,1
Donald Trump,male,White,"$100,000 to $149,999",california,40,1
Joe Biden,female,White,"$200,000 and above",virginia,74,0
Joe Biden,male,"Black, or African American","Less than $49,999",illinois,49,0
Donald Trump,male,White,"$50,000 to $99,999",north carolina,45,1
Joe Biden,male,White,"$150,000 to $199,999",florida,41,0
Donald Trump,female,White,"$100,000 to $149,999",texas,34,1
Joe Biden,female,Asian or Pacific Islander,"$50,000 to $99,999",massachusetts,50,0
Donald Trump,female,White,"Less than $49,999",georgia,69,1
Joe Biden,male,White,"$100,000 to $149,999",new york,39,0
Donald Trump,female,White,"Less than $49,999",kentucky,45,1
Joe Biden,male,White,"$50,000 to $99,999",arizona,77,0
Joe Biden,male,"Black, or African American","$50,000 to $99,999",new york,49,0
Joe Biden,female,White,"$100,000 to $149,999",florida,71,0
Joe Biden,male,White,"Less than $49,999",texas,39,0
Donald Trump,female,White,"$50,000 to $99,999",texas,22,1
Joe Biden,male,White,"Less than $49,999",wisconsin,36,0
Donald Trump,male,White,"$100,000 to $149,999",florida,35,1
Joe Biden,male,White,"$50,000 to $99,999",california,20,0
Joe Biden,male,White,"$50,000 to $99,999",florida,34,0
Joe Biden,female,White,"Less than $49,999",idaho,31,0
Joe Biden,male,White,"Less than $49,999",new york,32,0
Joe Biden,female,"Black, or African American","$100,000 to $149,999",connecticut,20,0
Joe Biden,male,White,"$50,000 to $99,999",north carolina,34,0
Joe Biden,female,Some other race,"Less than $49,999",california,26,0
Joe Biden,female,White,"$150,000 to $199,999",california,62,0
Donald Trump,male,White,"$50,000 to $99,999",iowa,45,1
Joe Biden,female,Asian or Pacific Islander,"$50,000 to $99,999",new jersey,39,0
Donald Trump,male,White,"Less than $49,999",utah,39,1
Joe Biden,female,White,"$50,000 to $99,999",california,29,0
Joe Biden,male,"Black, or African American","Less than $49,999",connecticut,68,0
Joe Biden,female,White,"$50,000 to $99,999",nevada,46,0
Donald Trump,male,White,"Less than $49,999",ohio,60,1
Joe Biden,female,White,"Less than $49,999",minnesota,21,0
Joe Biden,male,White,"Less than $49,999",california,20,0
Joe Biden,female,White,"Less than $49,999",kentucky,62,0
Donald Trump,female,White,"Less than $49,999",california,18,1
